Query,Sentiment_Level
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
Adamawa North East MTN 4G We use it here and it doesn't disappoint. Unlike in other traffic types like 2g and 3g. This is very good.,4
"Other South East MTN 4G MTN in IMO state is every poor. Too slow and often times, it is unavailable.",3
Abia South East Airtel 2G Not good at all. Should be discarded with immediate effect,2
Ogun South West MTN 4G Mtn has a better network quality and reception in places where i work and reside,4
Abia South East 9mobile 3G I hate 9 mobile for real. Very bad quality of service.,1
Abia South East 9mobile 3G I hate 9 mobile for real. Very bad quality of service.,1
Lagos South West MTN 4G Very very awesome. I am so pleased with mtn's quality of service.,5
"Ondo South West MTN 3G MTN is not that okay here.
Especially inside FUTA. It's worst.",2
Abuja North Central Airtel 2G Bad quality over here.,1
Osun South West MTN 3G It is manageable and works for more.,4
"Oyo South West MTN 4G The quality of my MTN sum is very good and reliable but when the weather is bad, the connectivity is not so good especially when I browse the internet. ",5
Osun South West MTN 4G Very lovely and I am so impressed,5
Adamawa North East Airtel 3G Its not good for most operations especially browsing.,2
Oyo South West MTN 4G In all network mtn is the best,0
Ondo South West 9mobile 4G The Internet access provided by this provider is worse ,1
Oyo South West MTN 4G In all network mtn is the best,0
Lagos South West Airtel 4G A lot of times it's quite fair. It's sometimes unreliable when it rains or when an upgrade is being done. But mostly it works well ,3
Adamawa North East Globacom 2G Very poor. Do not use!!,0
Lagos South West MTN 3G Very satisfactory and I have no issues at all.,5
Lagos South West MTN 3G It is a reliable network I guess mtn is everywhere you go indeed!!..It has a very good network quality ,5
Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
"Ondo South West MTN 4G Thing is, around FUTA the internet connection isn't as bad as in town, Oyarubule, orange fm side where you'll be getting a soak of 4kb/s from a 4G network smh",2
Akwa-Ibom South South 9mobile 3G 9mobile is the wrost sim... ,1
"Oyo South West MTN 4G The quality of my MTN sum is very good and reliable but when the weather is bad, the connectivity is not so good especially when I browse the internet. ",5
Ondo South West MTN 4G I browse the internet more than I actually make calls so I'd say this network service is very good cause internet connection is fafast,5
Lagos South West MTN 4G Great,4
Lagos South West Airtel 4G Opening a new app will require that I flip the switch of mobile data. Unless I am using a mifi router. ,3
Adamawa North East Globacom 2G Very poor. Do not use!!,0
Lagos South West MTN 4G I think one of the major challenges is the high cost of data and consumption rate. It will be important if this can be addressed ,4
Lagos South West Globacom 4G Can be better ,2
Oyo South West MTN 4G In all network mtn is the best,0
Lagos South West Globacom 4G I love Glo,4
Lagos South West MTN 3G Bad network,3
"Oyo South West MTN 4G The quality of my MTN sum is very good and reliable but when the weather is bad, the connectivity is not so good especially when I browse the internet. ",5
Delta South South MTN 4G It's a good experience simple and easy to understand ,3
Rivers South South Globacom 3G This is a very useless service and they should just stop operations already.,1
Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
Osun South West MTN 3G It is manageable and works for more.,4
Lagos South West Globacom Other 100% excellent.,5
"Osun South West MTN 4G The network is really poor, the only time I actually enjoy browsing is around 1am and it goes back to being rubbish at 6am.",2
Lagos South West Globacom 4G Glo is manageable. Gets me through the days work,4
"Lagos South West MTN 4G The quality of service is good, but once in a while, the network becomes really frustrating and sometimes i have to restart my device over and over ",4
"Oyo South West Globacom 4G Their service is just something else 
So annoying when you can't connect on time😐",2
Akwa-Ibom South South 9mobile 3G 9mobile is the wrost sim... ,1
Adamawa North East MTN 2G This particular traffic type is not good to use. Should not even be in existence over here.,1
Ondo South West MTN 4G I guess they are tired of been network provider,1
Lagos South West Airtel 4G It’s good in my area although they’re places I would get to and realize there’s no network or the network is very weak but asides that it’s okay ,3
Lagos South West MTN 4G ..,5
Ondo South West MTN 4G It's been on an average. ,2
Adamawa North East 9mobile 2G Very bad network,0
Rivers South South MTN 4G I am very OK with the service.,4
Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
Abia South East Airtel 2G Not good at all. Should be discarded with immediate effect,2
Lagos South West Globacom 3G Not ok,3
"Lagos South West Globacom 4G Glo has its moment 
Majority of the time it’s bad ",2
Ogun South West MTN 4G The network is very poor even with the 4g,1
Anambra South East Airtel 4G Good ,4
Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
Lagos South West Globacom 4G Can be better ,2
Osun South West MTN 4G Very lovely and I am so impressed,5
Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
Rivers South South Globacom 3G This is a very useless service and they should just stop operations already.,1
Abuja North Central Globacom 4G Fast and reliable,4
Ogun South West Globacom 3G The network is sometimes frustrating ,2
"Lagos South West MTN 4G MTN Network is perfect at times though can be a bit frustrating atimes
",4
"Lagos South West Globacom 4G Over the years, the quality has really been dwindling
",3
Ogun South West Globacom 3G The network is sometimes frustrating ,2
Adamawa North East Globacom 3G I am not happy with glo here.,3
Rivers South South MTN 4G Reliable if using above 4G broadband ,4
Ondo South West MTN 4G Thanks ,5
Abia South East 9mobile 3G I hate 9 mobile for real. Very bad quality of service.,1
Lagos South West MTN 4G Not so bad and not so good ,3
Ondo South West Globacom 3G Calling and texting is manageable but I just so hate The browsing aspects. Very slow and annoying.,2
Lagos South West Globacom 3G Fair,3
"Osun South West MTN 3G The network is just cool over there, when there's no rainfall tho",4
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
"Lagos South West Airtel 4G The service is fair, but consumes data a lot",4
Rivers South South MTN 3G Not satisfactory. I wish they'd improve,3
Adamawa North East 9mobile 3G Not satisfactory. Should be ditched,2
"Other South East MTN 4G MTN in IMO state is every poor. Too slow and often times, it is unavailable.",3
Anambra South East MTN 4G Mtn has a very good network stability everywhere you go but their services are costly.,4
Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
Abia South East Airtel 3G Not too good for use.but better than some.,3
Lagos South West Airtel 3G They are trying their best to meet up with their clients needs…,4
"Abuja North Central Globacom 3G We can call and text okay but I think browsing strength needs more work. All the same, this is okay on an average scale",4
Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
Abuja North Central Airtel 2G Bad quality over here.,1
Abia South East MTN Other I am so in love with my service..very fast and sweet to use.,5
Oyo South West MTN 4G In all network mtn is the best,0
Ogun South West MTN 4G Poor,2
Edo South South MTN 4G Top notch ,5
Ondo South West MTN 4G Mtn is very good in ondo state. ,5
Delta South South MTN 4G Basically I'll give it a passmark. I actually believe my Globacom will be better at the cost of subscription but it's network isn't so very available especially during this rainy seasons. Thanks 👍,4
Abuja North Central Airtel 2G Bad quality over here.,1
Ondo South West 9mobile 4G The Internet access provided by this provider is worse ,1
Rivers South South Globacom 3G This is a very useless service and they should just stop operations already.,1
Ondo South West Airtel 3G Airtel is good.,5
Abuja North Central Airtel 4G Very good to use. Reliable and smooth,4
Adamawa North East 9mobile 2G Very bad network,0
Oyo South West MTN 4G In all network mtn is the best,0
Ondo South West MTN 4G Still need to do more,4
Abuja North Central MTN 4G It's been fair but it could be better,2
Ogun South West Globacom 3G The network is sometimes frustrating ,2
"Osun South West MTN 4G The network is really poor, the only time I actually enjoy browsing is around 1am and it goes back to being rubbish at 6am.",2
Oyo South West Airtel 4G 👍👍,5
Ogun South West MTN 4G Needs improvement,4
Ogun South West Others 3G ...,2
Adamawa North East 9mobile 2G Very bad network,0
Adamawa North East 9mobile 2G Very bad network,0
Adamawa North East 9mobile 2G Very bad network,0
Oyo South West MTN 3G It is amazing ,5
Delta South South Globacom 4G The internet connection is poor,2
"Ogun South West Airtel 4G It's nice on average, but can(and should) get better with time and some more improvements",3
"Oyo South West Globacom 4G My user experience is dependent on my location, even within a location. Take for instance, I might have to leave my room for the kitchen because the network there would probably be better.
 It's so bad that you leave a chair in the sitting room  for another chair in that same sitting room, or you place your phone on your head to tap network..lol

It's a fact also that one network is better in a particular geographical location than the other. Take for instance, I'd prefer to use Glo in Ife and MTN in Ibadan because of where I stay in both places.

In all, the quality of service is frustrating, and the usage is expensive because it's data consuming ",3
"Edo South South MTN 4G Excellent, but at times it fluctuates ",4
Enugu South East MTN 4G I greatly advice anybody in Enugu to use mtn. It works so great,5
Abuja North Central Airtel 2G Bad quality over here.,1
Lagos South West MTN 4G It not very good ,3
Abia South East MTN 4G Really good performance here.,5
Ondo South West Globacom 4G It's not good but not that bad,3
Oyo South West MTN 4G In all network mtn is the best,0
Oyo South West MTN 4G In all network mtn is the best,0
Lagos South West MTN 4G Manageable ,4
Ondo South West MTN 4G I guess they are tired of been network provider,1
Ogun South West Globacom 3G Mostly it's very bad 😭,2
Ondo South West MTN 4G It’s terrible,3
Adamawa North East Globacom 3G I am not happy with glo here.,3
Oyo South West MTN 3G It’s not that good,3
Ondo South West MTN 4G The quality of service is okay and can be recommended for new users ,4
Ogun South West MTN 4G Very good QoS from MTN's 4G in Ogun state,5
Lagos South West MTN 4G Mtn is far better than most service provider,4
Lagos South West MTN 3G Very satisfactory and I have no issues at all.,5
Other Other MTN 2G MTN,1
Lagos South West MTN 4G Mtn is far better than most service provider,4
Ogun South West Globacom 3G Very weak and unsatisfactory. I dont like it at all,3
Lagos South West Airtel 4G Highly recommended,5
Lagos South West MTN 4G Call rates are quiet cheap whilst data services are fair enough according to those who use it as I don’t use it for data.,3
"Rivers South South MTN 4G Sometimes it's good. Not excellent, just okay. And sometimes it's terrible",3
Other South South 9mobile 4G Using Etisalat network in my current location has been really frustrating especially when it comes to browsing,2
Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
"Ondo South West 9mobile 3G For calls and texts, 9mobile is not too bad. There are tines when I'm unable to use my sim for several days though. For internet browsing however, the quality of service is almost nothing to write home about. ",2
"Ogun South West MTN 3G I would say quite good, but most times the only difficulty I experience is with the internet connectivity. It's sometimes very slow. ",3
Abuja North Central MTN 4G It's a very good idea ,4
Ogun South West Globacom 4G Glo is very good over here. Browsing can be slow sometimes but it is good on average.,5
Osun South West MTN 4G The browsing network has been very frustrating for the past few weeks. Calls and messages have been going freely.,3
Abuja North Central Airtel 4G Very good to use. Reliable and smooth,4
Ogun South West MTN 4G Poor,2
"Lagos South West Globacom 4G Glo has its moment 
Majority of the time it’s bad ",2
Ogun South West Globacom 3G Mostly it's very bad 😭,2
Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
Lagos South West MTN 3G It is a reliable network I guess mtn is everywhere you go indeed!!..It has a very good network quality ,5
Edo South South 9mobile 4G Very poor network,3
"Lagos South West Airtel 4G They are improving Alot, even when there's a storm, one can still access the internet comfortably. ",4
Ondo South West MTN 4G MTN is so far the best sim in Nigeria as of now. The only issue I experience with them is getting to subscribe for a package I didn't give consent.,4
Other North Central MTN 4G Basically my sim gets me through my internet  needs and makes calls clearly ,4
Rivers South South Globacom 3G This is a very useless service and they should just stop operations already.,1
"Lagos South West MTN 4G MTN data is too expensive, the volume of data isn't worth, the amount we pay for.
That's my view",3
Lagos South West MTN 4G It’s call reception is good and clear although for data it’s unstable but still okay.,4
Rivers South South Globacom 3G This is a very useless service and they should just stop operations already.,1
Adamawa North East Globacom 2G Very poor. Do not use!!,0
Lagos South West MTN 4G It has been good so far,4
Abia South East 9mobile 3G I hate 9 mobile for real. Very bad quality of service.,1
"Lagos South West MTN 4G MTN data is too expensive, the volume of data isn't worth, the amount we pay for.
That's my view",3
Delta South South MTN 4G It fast & reliable,4
Lagos South West MTN 3G It is a reliable network I guess mtn is everywhere you go indeed!!..It has a very good network quality ,5
Ogun South West Others 3G ...,2
Adamawa North East Globacom 2G Very poor. Do not use!!,0
Ogun South West MTN 4G Mtn is good. Everyone is happy using mtn,5
Abia South East MTN 4G Really good performance here.,5
Lagos South West MTN 3G Bad network,3
Ogun South West MTN 4G Poor,2
"Lagos South West 9mobile 3G I use 9mobile sim.
I don't use it for internet cos the network is always poor.",3
Ogun South West MTN 3G Mtn tries very well even though I am not all that satisfied.,4
Ondo South West MTN 4G I guess they are tired of been network provider,1
Adamawa North East 9mobile 2G Very bad network,0
Ondo South West MTN 4G Mtn is very good in ondo state. ,5
Oyo South West MTN 4G In all network mtn is the best,0
"Oyo South West MTN 4G Well, it's been the best so far. No problem and the network is very fast ",4
Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
Enugu South East MTN 4G Excellent network coverage from MTN's. very fast and affordable,5
Ogun South West MTN 4G Mtn has a better network quality and reception in places where i work and reside,4
Oyo South West MTN 4G Fair,3
Akwa-Ibom South South 9mobile 3G 9mobile is the wrost sim... ,1
"Ondo South West 9mobile 3G For calls and texts, 9mobile is not too bad. There are tines when I'm unable to use my sim for several days though. For internet browsing however, the quality of service is almost nothing to write home about. ",2
"Ondo South West MTN 3G MTN is not that okay here.
Especially inside FUTA. It's worst.",2
Lagos South West MTN 4G I think one of the major challenges is the high cost of data and consumption rate. It will be important if this can be addressed ,4
Ondo South West MTN 4G It's been on an average. ,2
Delta South South MTN 4G Basically I'll give it a passmark. I actually believe my Globacom will be better at the cost of subscription but it's network isn't so very available especially during this rainy seasons. Thanks 👍,4
Ogun South West Globacom 4G Very bad service,2
Lagos South West MTN 3G Satisfactory ,4
Ondo South West Globacom 3G Calling and texting is manageable but I just so hate The browsing aspects. Very slow and annoying.,2
Rivers South South Globacom 3G This is a very useless service and they should just stop operations already.,1
Oyo South West MTN 4G In all network mtn is the best,0
Lagos South West MTN 3G Very satisfactory and I have no issues at all.,5
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
Ogun South West MTN 4G Poor,2
Ogun South West Others 3G ...,2
Lagos South West MTN 4G It’s call reception is good and clear although for data it’s unstable but still okay.,4
Other Other MTN 2G MTN,1
Abuja North Central Globacom 2G Very poor and annoying network service performance.,1
Adamawa North East 9mobile 4G Too bad for 9mobile,3
Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
Lagos South West MTN 4G Fair,3
Adamawa North East Globacom 2G Very poor. Do not use!!,0
Ondo South West Globacom 3G Calling and texting is manageable but I just so hate The browsing aspects. Very slow and annoying.,2
Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
Abia South East Globacom Other Very great. Really works awesomely.,5
Lagos South West MTN 3G It is a reliable network I guess mtn is everywhere you go indeed!!..It has a very good network quality ,5
Enugu South East MTN 4G Excellent network coverage from MTN's. very fast and affordable,5
"Lagos South West MTN Other Since the implementation of the 5G network on MTN NG network operator, the quality of the service has dropped drastically and even the 4G network has never been good as it used to be",4
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
Ogun South West Others 3G ...,2
Adamawa North East Globacom 2G Very poor. Do not use!!,0
Abia South East MTN 3G Good quality..I am happy,5
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
Abia South East 9mobile 3G I hate 9 mobile for real. Very bad quality of service.,1
Lagos South West MTN 4G ..,5
"Lagos South West MTN Other Since the implementation of the 5G network on MTN NG network operator, the quality of the service has dropped drastically and even the 4G network has never been good as it used to be",4
"Ogun South West Globacom 4G It's not that bad ,but sometimes network fuck up ,it doesn't happen frequently but just once in a blue moon",4
Ogun South West MTN 4G The network is very poor even with the 4g,1
Ogun South West MTN 4G Needs improvement,4
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
Abia South East Airtel 2G Not good at all. Should be discarded with immediate effect,2
"Oyo South West Globacom 4G My user experience is dependent on my location, even within a location. Take for instance, I might have to leave my room for the kitchen because the network there would probably be better.
 It's so bad that you leave a chair in the sitting room  for another chair in that same sitting room, or you place your phone on your head to tap network..lol

It's a fact also that one network is better in a particular geographical location than the other. Take for instance, I'd prefer to use Glo in Ife and MTN in Ibadan because of where I stay in both places.

In all, the quality of service is frustrating, and the usage is expensive because it's data consuming ",3
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
Ogun South West MTN 4G Poor,2
Ondo South West MTN 4G I guess they are tired of been network provider,1
Ogun South West Globacom 3G The network is sometimes frustrating ,2
Ondo South West MTN 4G I guess they are tired of been network provider,1
"Lagos South West Globacom 4G Glo has its moment 
Majority of the time it’s bad ",2
Abia South East Airtel 2G Not good at all. Should be discarded with immediate effect,2
"Abuja North Central Globacom 3G We can call and text okay but I think browsing strength needs more work. All the same, this is okay on an average scale",4
Adamawa North East Airtel 4G Not OK enough. Very slow,3
Adamawa North East Airtel 3G Its not good for most operations especially browsing.,2
"Osun South West MTN 4G The network is really poor, the only time I actually enjoy browsing is around 1am and it goes back to being rubbish at 6am.",2
"Osun South West MTN 4G The network is really poor, the only time I actually enjoy browsing is around 1am and it goes back to being rubbish at 6am.",2
Lagos South West Airtel 4G Highly recommended,5
Ogun South West MTN 4G Good but not excellent ,4
Adamawa North East Globacom 2G Very poor. Do not use!!,0
Adamawa North East 9mobile 2G Very bad network,0
"Ogun South West MTN 4G It has always been quite okay, until recently.",4
Abuja North Central MTN 4G It's been fair but it could be better,2
Ogun South West Globacom 3G Mostly it's very bad 😭,2
Other South South 9mobile 4G Using Etisalat network in my current location has been really frustrating especially when it comes to browsing,2
"Osun South West MTN 4G The network is really poor, the only time I actually enjoy browsing is around 1am and it goes back to being rubbish at 6am.",2
"Oyo South West MTN 3G Not really good, I experience a lot of call drops in my area ",3
Ogun South West MTN 4G The network is very poor even with the 4g,1
Adamawa North East Globacom 2G Very poor. Do not use!!,0
Adamawa North East 9mobile 2G Very bad network,0
Adamawa North East MTN 4G We use it here and it doesn't disappoint. Unlike in other traffic types like 2g and 3g. This is very good.,4
Lagos South West Airtel 4G Highly recommended,5
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
Delta South South Airtel 4G The service is good but it has few network issues most of the times,3
Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
Rivers South South Globacom 3G This is a very useless service and they should just stop operations already.,1
Ondo South West MTN 4G It’s terrible,3
Ogun South West MTN 4G The network is very poor even with the 4g,1
Osun South West MTN 4G The browsing network has been very frustrating for the past few weeks. Calls and messages have been going freely.,3
Other Other MTN 2G MTN,1
Adamawa North East Globacom 2G Very poor. Do not use!!,0
Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
Ondo South West 9mobile 4G The Internet access provided by this provider is worse ,1
Lagos South West Globacom 4G Can be better ,2
Abuja North Central MTN 4G Awesome and fast.. I am in love with MTN,5
Osun South West MTN 4G Very lovely and I am so impressed,5
Ondo South West Globacom 3G Calling and texting is manageable but I just so hate The browsing aspects. Very slow and annoying.,2
Adamawa North East MTN 3G Very faulty and fluctuates. Cannot be relied upon,2
"Lagos South West MTN 4G The network is efficient, it only when rain falls or weather is cloudy the the network is always affected.",4
Ogun South West MTN 4G Good but not excellent ,4
Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
Adamawa North East MTN 2G This particular traffic type is not good to use. Should not even be in existence over here.,1
Rivers South South Globacom 3G This is a very useless service and they should just stop operations already.,1
Adamawa North East MTN 4G We use it here and it doesn't disappoint. Unlike in other traffic types like 2g and 3g. This is very good.,4
Lagos South West Airtel 4G They are trying their best.,3
Adamawa North East 9mobile 2G Very bad network,0
"Lagos South West MTN 4G The quality of service is good, but once in a while, the network becomes really frustrating and sometimes i have to restart my device over and over ",4
Ondo South West MTN 4G Mtn is very good in ondo state. ,5
Abia South East Globacom 2G Poor service using this traffic type.,2
Enugu South East MTN 4G Excellent network coverage from MTN's. very fast and affordable,5
Adamawa North East Airtel 3G Its not good for most operations especially browsing.,2
Abuja North Central Globacom 2G Very poor and annoying network service performance.,1
Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
Abuja North Central Globacom 2G Very poor and annoying network service performance.,1
Ondo South West MTN 4G It’s efficient and reliable ,4
Ondo South West Globacom 3G Calling and texting is manageable but I just so hate The browsing aspects. Very slow and annoying.,2
Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
Abia South East Airtel 2G Not good at all. Should be discarded with immediate effect,2
Ondo South West MTN 4G Thanks ,5
Lagos South West MTN 3G Very satisfactory and I have no issues at all.,5
Ondo South West MTN 3G It is good expect for data that finish quickly,4
Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
Abia South East Airtel 3G Not too good for use.but better than some.,3
Ondo South West 9mobile 4G The Internet access provided by this provider is worse ,1
Adamawa North East 9mobile 3G Not satisfactory. Should be ditched,2
Ondo South West MTN 4G Impressive ,3
Adamawa North East 9mobile 2G Very bad network,0
"Oyo South West Globacom 4G Their service is just something else 
So annoying when you can't connect on time😐",2
Lagos South West MTN 4G It’s call reception is good and clear although for data it’s unstable but still okay.,4
Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
"Lagos South West MTN 4G Sim and service is good but it always depends on the area, there are some areas that network won't work and the rate at which data is being withdrawn is too high and annoying ",3
Abia South East 9mobile 3G I hate 9 mobile for real. Very bad quality of service.,1
Abia South East 9mobile 3G I hate 9 mobile for real. Very bad quality of service.,1
"Abuja North Central 9mobile 2G I would give this network a 0 today, tomorrow and forever. I hate it.",0
Osun South West Globacom 4G I like glo very much.,5
Abia South East MTN 3G Good quality..I am happy,5
Lagos South West Globacom Other 100% excellent.,5
Ogun South West MTN 3G Mtn tries very well even though I am not all that satisfied.,4
"Oyo South West Globacom 4G Their service is just something else 
So annoying when you can't connect on time😐",2
Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
Oyo South West MTN 4G It is adequate.,3
Ondo South West Globacom 3G Calling and texting is manageable but I just so hate The browsing aspects. Very slow and annoying.,2
Other South East Globacom 4G Really a below average performance from Glo. I don't like it here at all.,3
Abia South East MTN 3G Good quality..I am happy,5
Adamawa North East Globacom 3G I am not happy with glo here.,3
"Ondo South West 9mobile 3G For calls and texts, 9mobile is not too bad. There are tines when I'm unable to use my sim for several days though. For internet browsing however, the quality of service is almost nothing to write home about. ",2
"Ogun South West Airtel 4G It's nice on average, but can(and should) get better with time and some more improvements",3
Edo South South MTN 4G Top notch ,5
Ogun South West Globacom 4G Glo is very good over here. Browsing can be slow sometimes but it is good on average.,5
Abia South East MTN Other I am so in love with my service..very fast and sweet to use.,5
Oyo South West MTN 4G Satisfactory network quality.,4
Abia South East 9mobile 3G I hate 9 mobile for real. Very bad quality of service.,1
Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
Ogun South West MTN 4G It’s actually okay no cap,5
Ondo South West Globacom 4G Satisfactory quality of service that works real good.,4
Ogun South West MTN 4G The network is very poor even with the 4g,1
Delta South South MTN 3G Not bad,3
"Ekiti South West Airtel 4G Well I love my ISP (Airtel NG), sometimes my Data connection is fast, sometimes kinda slow, but overall, it get my job done and  i prefer it to MTN",4
Lagos South West Airtel 4G Airtel is the best network. I swear I've been using just one sim since 5years yeah. ,5
Abia South East Airtel 2G Not good at all. Should be discarded with immediate effect,2
Lagos South West Airtel 4G A lot of times it's quite fair. It's sometimes unreliable when it rains or when an upgrade is being done. But mostly it works well ,3
Ogun South West Globacom 3G Mostly it's very bad 😭,2
Adamawa North East 9mobile 2G Very bad network,0
Abia South East Airtel 2G Not good at all. Should be discarded with immediate effect,2
Abia South East Globacom 2G Poor service using this traffic type.,2
Adamawa North East Airtel 4G Not OK enough. Very slow,3
Lagos South West MTN 3G Mtn network is usually bad most of the time,2
"Oyo South West MTN 4G Amazing data plans, but the network is not strong enough in my area of residence.",3
Lagos South West MTN 4G Very very awesome. I am so pleased with mtn's quality of service.,5
Ogun South West Globacom 3G Glo is very bad here. I won't even recommend it to the devil,2
Ogun South West Globacom 3G Glo is very bad here. I won't even recommend it to the devil,2
Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
Ondo South West Airtel 3G Airtel is good.,5
Adamawa North East MTN 2G This particular traffic type is not good to use. Should not even be in existence over here.,1
Ogun South West Globacom 4G Glo is very good over here. Browsing can be slow sometimes but it is good on average.,5
Other North Central MTN 4G Basically my sim gets me through my internet  needs and makes calls clearly ,4
Ondo South West Globacom 4G The network here is not good,3
Adamawa North East Globacom 2G Very poor. Do not use!!,0
Abia South East 9mobile 3G I hate 9 mobile for real. Very bad quality of service.,1
Ondo South West MTN 3G Satisfactory. Can improve tho especially I'm browsing. But still better than the lots of em.,4
Osun South West MTN 4G The network is 💯 alright,4
Abia South East Globacom 4G Sweet performance that I like.,5
Abia South East Airtel 2G Not good at all. Should be discarded with immediate effect,2
"Ondo South West MTN 3G It's a bit above average, just terrible when there is service congestion but aside that it is very good.",3
Akwa-Ibom South South 9mobile 3G 9mobile is the wrost sim... ,1
Abia South East Globacom 3G Fair enough..can be improved.,3
"Osun South West MTN 4G The network is really poor, the only time I actually enjoy browsing is around 1am and it goes back to being rubbish at 6am.",2
Abuja North Central MTN 4G It's been fair but it could be better,2
Abuja North Central MTN 4G Poor,3
Oyo South West MTN 4G In all network mtn is the best,0
Ondo South West Globacom 4G Very satisfactory service. Really good,5
Lagos South West MTN Other The service is manageable.,4
Lagos South West MTN 4G ..,5
Adamawa North East Globacom 2G Very poor. Do not use!!,0
"Lagos South West MTN 4G Sim and service is good but it always depends on the area, there are some areas that network won't work and the rate at which data is being withdrawn is too high and annoying ",3
Osun South West Globacom 4G I like glo very much.,5
Enugu South East MTN 4G I greatly advice anybody in Enugu to use mtn. It works so great,5
Enugu South East MTN 4G I greatly advice anybody in Enugu to use mtn. It works so great,5
Osun South West MTN 4G Very lovely and I am so impressed,5
Ogun South West Globacom 3G Mostly it's very bad 😭,2
Adamawa North East Airtel 2G Does not deserve to be used. I would always hate it,0
Delta South South MTN 4G Very Strong network,5
Ondo South West 9mobile 4G The service is quite terrible generally in this area compare to other network ,0
Ogun South West Globacom 4G Very bad service,2
Ondo South West 9mobile 4G The Internet access provided by this provider is worse ,1
"Ondo South West MTN 4G Very good
",5
Ondo South West 9mobile 4G The Internet access provided by this provider is worse ,1
Abuja North Central Globacom 2G Very poor and annoying network service performance.,1
Other Other MTN 2G MTN,1
"Oyo South West MTN 4G Amazing data plans, but the network is not strong enough in my area of residence.",3
Lagos South West Airtel 4G Airtel is the best network. I swear I've been using just one sim since 5years yeah. ,5
Ogun South West MTN 4G Poor,2
Delta South South MTN 4G Very Strong network,5
Ogun South West MTN 4G The network is very poor even with the 4g,1
Lagos South West MTN 3G Mtn network is usually bad most of the time,2
Oyo South West MTN 4G Manageable ,3
Ondo South West 9mobile 4G The Internet access provided by this provider is worse ,1
Ogun South West MTN 4G The network is very poor even with the 4g,1
Ondo South West Globacom 3G Good and reliable but only on very important and big occasion they tend to Fuck up,3
Adamawa North East MTN 3G Very faulty and fluctuates. Cannot be relied upon,2
Delta South South Globacom 4G Straight forward ,3
Abia South East 9mobile 4G An average performance from 9mobile. Below average and it is not good when compared to other networks.,3
Rivers South South Globacom 3G This is a very useless service and they should just stop operations already.,1
Edo South South MTN 4G Top notch ,5
Ogun South West MTN 4G Poor,2
Adamawa North East MTN 4G We use it here and it doesn't disappoint. Unlike in other traffic types like 2g and 3g. This is very good.,4
Abia South East 9mobile 2G This is the poorest network service using provider that I've ever used. TRASH,0
Ondo South West MTN 4G .,3
Other South South 9mobile 4G Using Etisalat network in my current location has been really frustrating especially when it comes to browsing,2
"Lagos South West Globacom 4G Glo has its moment 
Majority of the time it’s bad ",2
Abia South East Airtel 3G Not too good for use.but better than some.,3
Ondo South West MTN 4G MTN is so far the best sim in Nigeria as of now. The only issue I experience with them is getting to subscribe for a package I didn't give consent.,4
